notes

* {{da|Udst.: -Karl Isakson-udstillingen, 1974-75, Statens Museum for Kunst}}
* {{da|Nicolas Loir?}}<br/>* {{da|Fra arkkatalog: -J. Vilain29.10.1975: Verdier}}
* {{da|Tilskrivninger / kommentarer fra arkkatalog: -Jakob Rosenberg (1927): kan tilskrives Bloemaert -I.Q. van Regteren Altena: sikker Bloemaert, jf tegninger i London og Stockholm (bl.a. Bolten, 2007, kat. 1317)}}
* {{da|Litteratur fra arkkatalog: - Maurice Sérullaz et a.: "Dessins du Louvre. École francaise", Paris 1968, nr. 60 med pl. (her videre bibliografi) - Kat.: "Dessins francais de 1750 à 1825. Le néoclassicisme." Ved Arlette Sérullaz. Paris 1972, kat.nr. 54, pl. XII (her videre bibliografi) - Arlette Sérullaz: "Un dessin de J.-L. David" i&semi "La Revue du Louvre", 22e année, 1972, no. 6, s.471-72, ill.}}
* {{da|Traditionel tilskrivning}}<br/>* {{da|Tilskrivninger fra arkkatalog: -Giulio Romano Tilskrivninger / kommentarer fra monteringen: -Erik Fischer: recto: "J.R." (= Giulio Romano??). verso: henvisning til Ribera. Castiglione?}}
* {{da|Traditionel tilskrivning. Efter Carlo Marattas fresko Kristus på Oliebjerget / Natten i Gethsemane Have i Capella del Crocifisso i S.Isidoro i Rom?}}<br/>* {{da|Tilskrivninger fra arkkatalog: -G.A.Ratti Tilskrivninger / kommentarer fra monteringen: -Erik Fischer: bet.verso: "Riff" og "G.A.Ratti" -Philip Pouncey: after Maratta in S.Isidoro, I think. -Ann Sutherland Harris: Yes}}
* {{da|Tiberto Tinelli eller hans kreds}}<br/>* {{da|Tilskrivninger fra arkkatalog: -Lodovico Carracci Tilskrivninger / kommentarer fra monteringen: -Erik Fischer: 153x125 uden montering. Weigel's auktion 23/11 1863, no 669.}}
* {{da|Domenico og Paolo Gerolamo Piola}}
* {{da|Traditionel tilskrivning}}<br/>* {{da|Tilskrivninger fra arkkatalog: -"Carracci" Tilskrivninger / kommentarer fra monteringen: -Erik Fischer: tilskr. verso bl.a.: "...da Carracci di professore". -Jacob Bean? (J.B.): Tommaso Conca? Kommentarer iøvrigt: -Konrad Oberhuber 4.-5.okt.1994 (iflg. sedler i chateque i skuffedariet i Chris Fischers kontor): S.CONCA I? = Alberyina Poussin. -Joachim Meyer 1995: "f.2" nummerering som IX.9. Også tilsvarende verso m.h.t. montering.}}
* {{da|J.nr. 4-74/01}}
